yearAndMonth,cluster,timeSpent
2020-12,0,1122672.0
2020-12,31,34032.0
2020-12,25,9065.0
2020-12,2,5017.0
2020-12,3,4751.0
2021-01,0,2384462.0
2021-01,27,152056.0
2021-01,75,14500.0
2021-01,3,11704.0
2021-01,53,11610.0
2021-02,0,2116319.0
2021-02,27,193520.0
2021-02,46,17407.0
2021-02,5,14378.0
2021-02,3,6725.0
2021-03,0,2284653.0
2021-03,27,244329.0
2021-03,122,23479.0
2021-03,5,18557.0
2021-03,2,16525.0
2021-04,0,1855486.0
2021-04,27,300017.0
2021-04,177,137069.0
2021-04,188,65354.0
2021-04,28,16716.0
2021-05,0,2000675.0
2021-05,27,188728.0
2021-05,187,101014.0
2021-05,198,53603.0
2021-05,191,26448.0
2021-06,0,1996777.0
2021-06,27,240978.0
2021-06,243,128311.0
2021-06,31,41222.0
2021-06,5,11759.0
2021-07,0,1795917.0
2021-07,27,217092.0
2021-07,293,146809.0
2021-07,260,144789.0
2021-07,291,74117.0
2021-08,0,2225667.0
2021-08,27,242103.0
2021-08,76,21815.0
2021-08,31,21313.0
2021-08,5,11860.0
2021-09,0,1372616.0
2021-09,291,289683.0
2021-09,241,261336.0
2021-09,27,236264.0
2021-09,349,117257.0
2021-10,0,2136913.0
2021-10,27,245182.0
2021-10,25,31241.0
2021-10,364,23773.0
2021-10,5,20599.0
2021-11,0,1861885.0
2021-11,291,307270.0
2021-11,27,198661.0
2021-11,5,17819.0
2021-11,385,16972.0
2021-12,0,111251.0
2021-12,27,33065.0
2021-12,2,4966.0
2021-12,28,1107.0
2021-12,305,1083.0
